id,customer_age_sales_interaction,utilization_ratio,combined_plus,discount_category,seat_utilisation_result,target,category_sale_Negative,category_sale_Neutral,category_sale_Positive,day,month,year
JMAN_9019742,17,1.0,3.0,1,0,1,0,0,1,17,2,2023
JMAN_16090733,0,1.0,1.0,1,0,1,0,1,0,31,3,2023
JMAN_9002159,16,1.0,3.0,1,0,1,0,0,1,17,2,2023
JMAN_2414128,16,1.0,2.0,1,0,1,0,0,1,24,3,2023
JMAN_2480262,0,1.0,0.0,1,0,1,1,0,0,13,1,2023
JMAN_9030043,16,1.0,2.0,1,0,1,0,0,1,13,1,2023
JMAN_9028695,17,1.0,3.0,1,0,1,0,0,1,31,3,2023
JMAN_2438346,17,1.0,2.0,1,0,1,0,0,1,17,3,2023
JMAN_2466569,17,1.0,3.0,1,0,1,0,0,1,31,3,2023
JMAN_2463062,17,1.0,3.0,1,0,1,0,0,1,31,3,2023
JMAN_18839586,0,1.0,1.0,1,0,1,0,1,0,17,3,2023
JMAN_15336980,0,1.0,,1,0,0,1,0,0,3,2,2023
JMAN_9014349,15,1.0,3.0,1,1,1,0,0,1,24,2,2023
JMAN_2451881,0,1.0,,1,0,1,1,0,0,10,3,2023
JMAN_12581551,4,1.0,2.0,1,0,1,0,0,1,13,1,2023
JMAN_11272416,6,1.0,2.0,1,0,1,0,0,1,24,2,2023
JMAN_9357280,0,1.0,1.0,1,0,1,0,1,0,13,1,2023
JMAN_2357251,0,1.0,0.0,1,0,1,1,0,0,24,2,2023
JMAN_2465581,17,1.0,2.0,1,0,1,0,0,1,13,1,2023
JMAN_9000240,17,1.0,2.0,1,0,1,0,0,1,31,3,2023
JMAN_14142262,2,1.0,2.0,1,0,1,0,0,1,13,1,2023
JMAN_2375471,17,1.0,2.0,1,0,1,0,0,1,27,1,2023
JMAN_2462569,0,1.0,1.0,1,0,1,0,1,0,27,1,2023
JMAN_9662440,11,1.0,3.0,1,0,1,0,0,1,24,2,2023
JMAN_2483316,0,1.0,0.0,1,0,1,1,0,0,27,1,2023
JMAN_2452556,17,1.0,3.0,1,0,1,0,0,1,31,3,2023
JMAN_2462717,17,1.0,3.0,1,0,1,0,0,1,3,3,2023
JMAN_9036591,17,1.0,3.0,1,0,1,0,0,1,17,3,2023
JMAN_10148809,14,1.0,3.0,1,0,1,0,0,1,24,3,2023
JMAN_9016394,17,1.0,2.0,1,0,1,0,0,1,31,3,2023
JMAN_12791979,0,1.0,,1,0,1,1,0,0,3,2,2023
JMAN_2452905,0,1.0,1.0,1,0,1,0,1,0,13,1,2023
